start,end,ori,sf,tf,contrast
220187,220277,135,0.08,2,0.8
22882,22972,135,0.08,4,0.8
46607,46697,135,0.08,4,0.8
102165,102255,135,0.08,4,0.8
154419,154509,135,0.08,4,0.8
175291,175381,135,0.08,4,0.8
184901,184991,135,0.08,4,0.8
230698,230788,135,0.08,4,0.8
233251,233341,135,0.08,4,0.8
58920,59010,135,0.08,8,0.8
87449,87539,135,0.08,8,0.8
88500,88590,135,0.08,8,0.8
90002,90092,135,0.08,8,0.8
137301,137391,135,0.08,8,0.8
151716,151806,135,0.08,8,0.8
164630,164720,135,0.08,8,0.8
185051,185141,135,0.08,8,0.8
15374,15464,135,0.08,15,0.8
22281,22371,135,0.08,15,0.8
30990,31081,135,0.08,15,0.8
54715,54805,135,0.08,15,0.8
59820,59911,135,0.08,15,0.8
128442,128532,135,0.08,15,0.8
132646,132736,135,0.08,15,0.8
160575,160665,135,0.08,15,0.8
43604,43694,135,0.16,1,0.8
59070,59160,135,0.16,1,0.8
70031,70121,135,0.16,1,0.8
80842,80932,135,0.16,1,0.8
89551,89641,135,0.16,1,0.8
97360,97450,135,0.16,1,0.8
141205,141295,135,0.16,1,0.8
201868,201958,135,0.16,1,0.8
5164,5254,135,0.16,2,0.8
16125,16215,135,0.16,2,0.8
24984,25074,135,0.16,2,0.8
52913,53003,135,0.16,2,0.8
130844,130934,135,0.16,2,0.8
146761,146851,135,0.16,2,0.8
159975,160065,135,0.16,2,0.8
221238,221329,135,0.16,2,0.8
8467,8557,135,0.16,4,0.8
54415,54505,135,0.16,4,0.8
61322,61412,135,0.16,4,0.8
72734,72824,135,0.16,4,0.8
113276,113366,135,0.16,4,0.8
130094,130184,135,0.16,4,0.8
182498,182588,135,0.16,4,0.8
234752,234843,135,0.16,4,0.8
25735,25825,135,0.16,8,0.8
27837,27927,135,0.16,8,0.8
97059,97149,135,0.16,8,0.8
99762,99852,135,0.16,8,0.8
126940,127030,135,0.16,8,0.8
129042,129133,135,0.16,8,0.8
170035,170125,135,0.16,8,0.8
171687,171777,135,0.16,8,0.8
30540,30630,135,0.16,15,0.8
61923,62013,135,0.16,15,0.8
77689,77779,135,0.16,15,0.8
93005,93095,135,0.16,15,0.8
134598,134688,135,0.16,15,0.8
143307,143397,135,0.16,15,0.8
147662,147752,135,0.16,15,0.8
216734,216824,135,0.16,15,0.8
3812,3902,135,0.32,1,0.8
21981,22071,135,0.32,1,0.8
68680,68770,135,0.32,1,0.8
126340,126430,135,0.32,1,0.8
150515,150605,135,0.32,1,0.8
153368,153458,135,0.32,1,0.8
175741,175831,135,0.32,1,0.8
230548,230638,135,0.32,1,0.8
45706,45796,135,0.32,2,0.8
57118,57208,135,0.32,2,0.8
85948,86038,135,0.32,2,0.8
